Lemma	Nn	Ndn
Leberwurst	0	0
Lebewesen	5	20
Lehrer	9	2
Lehrgang	1	5
Leib	1	4
Leistung	2	31
Leute	7040	487
Licht	13	0
Lied	9	41
Lieferant	0	148
Limonade	0	0
Link	277	22
Lungenentzündung	0	0
Made	3	0
Mahlzeit	0	20
Mail	74	14
Manager	0	1
Mandel	429	6
Mann	0	1
Manuskript	0	0
Marke	0	31
Maschine	10	0
Material	0	476
Materie	3	38
Mädchen	13	8
Mädel	11	0
Männchen	0	0
Medikament	12	5
Medium	0	87
Mensch	2027	5773
Mikroorganismus	0	0
Militär	0	5
Miliz	0	0
Minderheit	0	0
Mine	0	0
Mineralstoff	1	1
Miniatur	0	0
Minister	1	8
Mitarbeiter	96	1
Mitbewohner	0	0
Mitesser	0	0
Mitglied	0	129
Mittel	1	23
Monster	41	6
Moped	5	2
Motiv	2	41
Möglichkeit	12	366
Möhre	22	0
Museum	32	0
Musiker	53	3
Musikerin	2	1
Muskel	30	4
Nadel	3	0
Nation	4	0
Neuigkeit	134	0
Neuzugang	1	0
Nominierung	1	0
Nörgler	0	0
Nuance	9	0
Nudel	249	1
Objekt	39	266
Offizier	4	0
Olive	3	0
Opfer	21	2297
Orange	5	0
Orchidee	0	0
Organisation	1	40
Öl	3	2
Österreicher	2	0
Paar	14	19
Paket	1	0
Panne	0	8
Panzer	8	15
Papagei	5	0
Patient	69	1135
Patientin	1	52
Penis	0	0
Person	330	1678
Perspektive	1	10
Pfefferkorn	6	0
Pflanzengesellschaft	0	0
Photo	27	1
Pille	0	0
Pirat	7	2
Planet	11	52
Platte	4	4
Platz	1	22
Pointe	0	0
Polohemd	0	0
Position	0	0
Preis	141	15
Problem	886	31
Produkt	6	153
Produzent	0	0
Projekt	4	103
Provider	0	2
Prügelknabe	0	0
Pub	0	1
Publikation	1	13
Punkt	354	118
Quelle	1	30
Radfahrer	10	0
Randalierer	10	2
Rang	1	6
Raubtier	1	2
Receiver	0	0
Regenwald	0	5
Region	0	1
Register	5	20
Reiter	32	1
Reiz	0	4
Rekrut	10	0
Reporter	4	1
Resultat	0	2
Rettungsschwimmer	0	0
Rezept	2	7
Risiko	14	0
Rosine	40	0
Rüde	0	0
Sache	50	7
Sachverhalt	0	0
Sahne	0	0
Salz	3	2
Sammlung	0	0
Sandaal	0	0
Sardine	2	0
Satz	0	0
Sauerkirsche	42	0
Schaf	29	5
Schauspieler	5	0
Schausteller	3	0
Scheibe	3	0
Schein	6	1
Schicht	0	0
Schiff	0	25
Schimpanse	12	0
Schlafplatz	0	0
Schlagzeile	40	1
Schnecke	1	0
Schönheit	0	0
Schuld	164	9
Schule	0	70
Schüler	211	140
Schwaden	0	0
Schwarzarbeiter	0	0
Schwester	1	0
Screenshot	24	0
Seeleute	0	5
Sehenswürdigkeit	0	14
Seite	202	31
Semmel	4	0
Senfkorn	16	0
Siedlung	0	6
Signal	12	8
Silbe	0	0
Skinhead	6	0
Sklave	3	21
Soldat	237	370
Song	3	277
Sonnenblumenkern	5	0
Sorte	1	62
Sound	0	1
Söldner	24	0
Spiel	108	1
Spieler	3	1
Spielzeug	0	0
Spitze	2	1
Splitter	0	0
Sportart	2	3
Sprache	0	0
Sprechblase	0	0
Sprengstoff	2	0
Spruch	0	0
Stadt	17	56
Standard	0	0
Stehplatz	1	0
Steigerung	0	0
Stein	35	2
Steinpilz	28	0
Stern	1	35
Stil	0	1
Stimmzettel	0	0
Stoff	0	0
Strategie	0	0
Strom	0	0
Student	181	86
Studentin	14	6
Stück	9	18
Substanz	9	86
System	1	79
Tapete	4	0
Tat	0	1
Technik	16	4
Technologie	0	7
Teil	2	0
Teilchen	0	26
Teilgebiet	0	0
Teilnehmer	185	1757
Termin	85	2
Terrorist	34	12
Text	63	476
Thema	4	136
Tier	2	89
Titel	0	0
Todesfall	0	661
Tomate	449	0
Tool	85	6
Tourist	199	19
Traktat	0	0
Träger	0	0
Treibhausgas	13	0
Trick	0	1
Trikot	0	0
Tropfen	2	8
Trüffel	0	0
Ultra	2	0
Ungar	0	0
Unterkunft	0	50
Untermieter	0	0
Unterstellung	0	0
User	54	269
Vampir	20	2
Vasall	0	0
Veranstaltung	107	32
Verbot	9	0
Verein	11	0
Verfärbung	0	0
Verhaltensweise	0	1
Verlag	0	7
Verrücktheit	0	0
Verweis	0	1
Visitenkarte	0	0
Vitamin	7	1
Vogel	4	12
Vogelart	0	4
Voraussage	0	1
Waffe	188	132
Waldameise	1	3
Wanderer	2	0
Wandersleute	0	0
Ware	0	11
Wasserbombe	0	0
Währung	0	4
Weg	2	1
Wein	6	10
Weintraube	7	0
Werk	1	1
Werkzeug	2	20
Wert	0	1
Wesen	1	7
Widerspruch	0	0
Wohnsitz	0	0
Wort	1	4
Wurf	0	1
Wurst	3	0
Wurzel	1	2
Zahl	0	0
Zahnarzt	0	26
Zeit	0	2
Zelle	15	5
Zeremonie	0	0
Zettel	11	0
Zeuge	0	9
Zeugnis	0	5
Ziel	0	3
Zigarette	411	1
Zigeuner	2	0
Zitrone	7	0
Zivilist	0	0
Zöllner	0	0
Zug	0	0
Zuschauer	30	1
Zuschrift	1	9
Zwetschge	26	0
