Amphore	2.3506356083
Ampulle	3.0627323632
Atom	3.962189329
Barrel	3.219217657
Barren	3.066400476
Batzen	2.909127942
Becher	3.8136076725
Behälter	3.8512461149
Beilage	3.6451470635
Berg	4.8604961209
Beutel	3.6917178729
Biss	3.8146470695
Blatt	4.6294829948
Block	4.3693012231
Brocken	3.6792279661
Brunnen	4.0634384478
Bund	4.7456992266
Büchse	3.2478260229
Bündel	3.4099331233
Büschel	2.7943486039
Cent	4.3359751352
DM	4.5876840312
Dollar	4.5408873162
Dose	4.1762823066
Dosis	3.8899736384
Ecke	4.7739838067
Eimer	3.8502049786
Einheit	4.7754953975
Esslöffel	3.3649635198
Euro	5.6030293397
Extraportion	2.5460488664
Fass	3.8953672888
Feinunze	2.5765716841
Feld	4.8935220852
Fetzen	3.2275267849
Flasche	4.4603294318
Fleck	3.8820461522
Fleckchen	3.0712190184
Flecken	4.0036414505
Flocke	3.314835923
Fläche	4.7408298969
Fläschchen	3.2547413761
Fontäne	2.8972971221
Franc	2.9885589569
Franke	4.2910267866
Fuhre	2.892205946
Gallone	2.5190400386
Glas	4.5971047584
Gläschen	3.2790734896
Gramm	4.1892825213
Groschen	3.1435144201
Gulden	3.4573367952
Handvoll	3.6741811628
Happen	2.9629372884
Hauch	3.9050507367
Haufe	4.1660510139
Hektar	4.0422052397
Hektoliter	2.6487502127
Humpen	2.3070679507
Hälmchen	1.6570558529
Häufchen	3.10761693
Häuflein	2.6277753752
Kanister	3.1383026982
Kanne	3.3956757853
Kante	4.1155905437
Karton	3.9598519548
Kasten	4.1942867286
Kelle	2.9885589569
Kilo	4.1371198077
Kilogramm	3.9253327226
Kilometer	4.8149783538
Kilowatt	3.0319736891
Kilowattstunde	3.5093638402
Kiste	4.3444551534
Klafter	2.1789769473
Klecks	2.7830455721
Klumpen	3.0583500922
Koffer	4.0997082583
Korb	3.9054180687
Korn	3.9487845003
Krug	3.5791431116
Krümel	3.3253103717
Kubikmeter	3.7249309142
Kubikzentimeter	2.494154594
Kugel	4.282830488
Kännchen	2.3049211619
Kübel	3.3138250538
L	4.6427097927
Lache	2.7097786018
Ladung	3.9562548964
Lage	5.1271378553
Laib	2.7265642162
Lawine	3.2400997456
Leib	4.339872612
Lieferung	4.3180090448
Liter	4.5919990046
Löffel	3.6804443001
Mark	4.631490443
Mass	4.7767215184
Masse	4.6637159983
Megawatt	3.2783877252
Megawattstunde	2.2935835135
Menge	5.093591167
Messerspitze	2.6739419986
Meter	5.0919896574
Milliliter	2.8688794462
Millimeter	3.9245273835
Molekül	3.8111190255
Moment	5.1286874102
Morgen	4.7992550609
Packung	3.8937395753
Paket	4.4741812859
Palette	4.0051805125
Pfanne	3.9090744014
Pfennig	3.579280438
Pfund	3.9762857702
Pfütze	3.3964085952
Portion	4.0785800561
Pott	3.6006680206
Prise	3.4999343951
Päckchen	3.7530005453
Quadratkilometer	3.5326524798
Quadratmeter	4.3661987474
Quadratzentimeter	2.5992278628
Raummeter	2.0927206447
Rest	4.9005004011
Riegel	3.6341547044
Riesenportion	1.9712758487
Rinnsal	2.7367151336
Sack	4.1858196973
Schaufel	3.3823773035
Scheffel	2.9921114878
Scheibchen	2.7397305286
Scheibe	4.5525489817
Scheit	2.6048737706
Schicht	4.4090264116
Schluck	2.9716468821
Schnitzer	3.1954568336
Schoppen	2.5124175486
Schuss	4.4834332342
Schwall	2.8393523289
Schälchen	2.8748295779
Schöpfkelle	2.1335389084
Schüssel	3.88583597
Sechserpack	1.7965743332
Spritze	3.87002915
Spritzer	2.9724805499
Stapel	3.6767301803
Std.	4.1570092476
Stich	3.9563509495
Strahl	3.5032457715
Streifen	4.1775768975
Stück	5.342022946
Stückchen	3.7695693186
Säckchen	2.7765559107
T	4.63886648
Tablett	3.2814878879
Tafel	4.1996290381
Taler	3.4419463726
Tankfüllung	2.9291122567
Tasche	4.5302893663
Tasse	4.0738356123
Teelöffel	3.3204371037
Teilchen	3.8926287903
Teller	4.0319978966
Thermoskanne	2.7223047869
Tonne	4.4352549304
Topf	4.2247971328
Trommel	3.4153406725
Tropfen	4.106856962
Tröpfchen	3.0432050389
Tube	3.4069827649
Tupfer	2.6310376965
Tässchen	2.3986343245
Tütchen	2.876564214
Tüte	3.3500152982
US-Dollar	4.0450881615
Unmenge	3.6496074244
Unsumme	2.9230366687
Unze	3.1801832418
Urne	3.4157076867
Viertelliter	1.9334872878
Watt	4.1529667816
Würfel	3.9599186396
Zentimeter	4.1950911679
Zentner	3.0600175425
Zylinder	3.9380491514
cm	5.0287729007
g	4.7338534288
h	4.8626333912
ha	4.2562220886
kW	3.9807848529
kg	4.7316548309
km	5.1762371575
l	4.6480202501
m	5.240433421
mg	4.2765950593
ml	4.2330722957
mm	4.8946184125
qm	4.2015773601
t	4.58984241
Übermass	3.147923539
€	5.4850254302
