1	Jahrestonne
1	Jahresration
1	Jahreskontingent
1	Handkarren
1	Grossteil
1	Gewichtsanteil
1	Gesamtmenge
1	Fetzchen
1	Familienpackung
1	Extra-Schluck
1	Deckschicht
1	DDR-Mark
1	Bottich
1	Bierglas
1	Badewannenfüllung
1	Armvoll
