Lemma	Nn	Ndn
Hälmchen	7	0
Paket	121	1
Tonkrug	1	0
Topf	515	16
Spraydose	5	0
Watt	233	5
Schüppe	8	0
Extra-Schluck	1	0
Häuflein	60	0
Feld	29	1
Franke	46	0
Fläche	10	25
Karton	32	1
Tropfen	5475	429
Stück	18281	231
Tankinhalt	2	0
Taler	18	0
Cent	52	37
Masse	63	92
Teetasse	1	0
Lieferung	2	2
Prise	5113	1
Viertelmeter	1	0
Kugel	668	7
Garnitur	7	0
Klümpchen	6	0
Kügelchen	1	0
Kanne	1219	2
Scheibe	2502	21
Runde	82	2
Lagerhalle	1	0
Pfennig	16	0
Sümmchen	2	0
Quadratkilometer	14	0
Scheibchen	30	0
Happen	38	0
Tüpfelchen	1	0
