text,sent48,sent9,sent8,sent15,sent3,sent2,sent1,sent14,sent7,sent6,sent5,sent4,sent57,sent56,sent55,sent54,sent53,sent52,sent51,sent50,sent13,sent12,sent11,sent10,sent17,sent16,sent59,sent58,sent93,sent92,sent91,sent90,sent97,sent96,sent95,sent94,sent98,sent22,sent23,sent20,sent21,sent26,sent27,sent24,sent25,sent28,sent29,sent68,sent69,sent66,sent67,sent64,sent65,sent62,sent63,sent60,sent61,sent31,sent30,sent33,sent32,sent35,sent34,sent37,sent36,sent39,sent38,sent79,sent78,sent75,sent74,sent77,sent76,sent71,sent70,sent73,sent72,sent19,sent49,sent18,sent44,sent45,sent84,sent85,sent86,sent87,sent80,sent81,sent82,sent83,sent40,sent41,sent42,sent43,sent88,sent89,sent46,sent47,intros.thisRepN,intros.thisTrialN,intros.thisN,intros.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,testWords.thisRepN,testWords.thisTrialN,testWords.thisN,testWords.thisIndex,test1,test3,test2,test5,test4,test7,test6,test9,test8,test10,realTrials.thisRepN,realTrials.thisTrialN,realTrials.thisN,realTrials.thisIndex,words.thisRepN,words.thisTrialN,words.thisN,words.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_8.keys,key_resp_10.keys,key_resp_10.rt,key_resp_6.keys,wordRead.keys,wordRead.rt,key_resp_5.keys,questAnswer.keys,questAnswer.rt,key_resp_6.rt,key_resp_5.rt,date,frameRate,expName,session,participant,
,verdünnt.,Boden,Slums.,trug.,Saft,nan,Gantenbein.,nan,Wohnung.,zwängen.,Menge,nan,warmen,fahren.,Frau,ganz,gefertigt.,zwängen.,nan,warme,gehalten.,einmal,nan,war.,warmer,als,Wohnung.,nan,Nadelhölzer,nan,als,überführt,nan,mit,Fall,nan,ist.,nan,Stoff,nan,nan,nan,diskutiert.,jede,nan,Fall,ziemlich,eingesprüht.,Menge,Boden,stattfinden.,Tage.,umgearbeitet.,nan,Sammlung,Problemen,nan,gehärtet.,Frau,des,warmem,Wein,mitbringen.,nan,nan,Gewebe,Tee,Weins,des,nan,nan,Besatz,dem,dass,jede,Kaffee,mitbringen.,haftbar.,nan,Einsatz,überführt,ganz,zur,Slums.,Japan.,das,selber,einmal,war.,nan,zur,dem,Sammlung,mit,liegen.,Gantenbeins.,Probleme,zurückgekehrt.,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,space,0.570076942444,,,,,,2017_Feb_01_1206,59.7756793041,spr_backupper,001,Mo18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,None,j,1.71673893929,,,2017_Feb_01_1206,59.7756793041,spr_backupper,001,Mo18,
,Die,Nicht,Am,Die,Sie,Wir,Die,Es,Sie,Wir,Mit,Er,Er,Wir,Die,Im,Alle,Wir,Viele,In,In,In,Die,Die,In,Wir,Sie,Dort,Jetzt,Wir,Wir,Es,Beträchtliche,Ich,100,Er,Die,Die,Er,Walter,Dort,Sie,Fernab,Man,Viele,100,Dass,Die,Mit,Nicht,Unter,Der,Die,Die,Sie,In,Außer,Die,Die,Bei,Er,Bei,Außer,Die,Beträchtliche,Danach,Ich,Bei,Bei,Die,Es,Das,Wir,Es,Man,Die,Außer,Manche,Außer,Ihr,Es,Im,Die,Am,Die,In,Jugendliche,In,Die,Sie,Die,Wir,Sie,Ich,Jungtiere,Die,In,Als,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,space,space,0.388101100922,,,,0.319561004639,,2017_Feb_01_1206,59.7756793041,spr_backupper,001,Mo18,
,Lösung,ein,äußeren,Uhr,haben,hatten,Gäste,wurden,verlassen,mussten,dieser,wurde,stellt,konnten,Schuhe,Fernrohr,Betten,mussten,Tonnen,den,diesem,meinem,Autos,Uhr,den,übergaben,verlassen,türmen,ist,hatten,übergaben,waren,Stücke,nehme,g,wurde,Teilnehmerinnen,Linie,hat,Scheel,türmen,verbrauchen,des,machte,Tonnen,g,es,Eislaufbahnen,dieser,ein,keinen,Flug,Stücke,Autos,hatte,der,den,Formen,Schuhe,der,stellt,unserer,das,Schule,Stücke,wurde,wurde,unserer,der,Schule,wurden,Tuch,haben,hat,machte,müden,dem,Kreditnehmer,dem,Blutdruck,waren,Fernrohr,Kinder,äußersten,"Uhr,",einer,können,meinem,Uhr,verbrauchen,Kinder,haben,hatte,nehme,sollten,Gäste,der,die,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,,,,,,,space,0.370155096054,,,,,,2017_Feb_01_1206,59.7756793041,spr_backupper,001,Mo18,
,wird,Tropfen,Rand,war,die,in,suchen,Eimer,wegen,uns,Methode,trotz,die,dann,in,sahen,wurden,uns,gebrauchte,Kakao,Zirkus,Studium,beider,schlug,Kakao,dem,wegen,sich,genau,in,das,nur,saftiges,eine,brauner,trotz,wussten,101,ein,war,sich,60,Rummels,mal,gebrauchter,braunen,"regnete,",wurden,Methode,Tropfen,Umständen,zum,wurden,beider,keine,Tat,Bürgermeister,wurden,in,Feier,die,Ankunft,Essen,verbraucht,saftigen,die,damals,Ankunft,Feier,verbraucht,Eimer,wurde,jede,uns,mal,Teilnehmer,Essen,sind,Bürgermeister,kann,nur,sahen,fuhren,Rand,die,Studie,Kleidung,Studium,schlug,60,fuhren,jede,keine,eine,immer,suchen,Tat,Sonne,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,2,2,2,,,,,,,space,0.368473052979,,,,,,2017_Feb_01_1206,59.7756793041,spr_backupper,001,Mo18,
,mit,königliches,der,aus,Erlebnisse,Dänemark,die,rote,dem,durch,kann,dem,Masse,mit,Größe,wir,mit,durch,Kleidung,gehören,werden,las,beteiligter,"sporadisch,",gehören,Mann,des,Berge,die,Dänemark,Auto,kleinere,Fleisch,große,Zucker,des,überwiegend,hält,Hemd,der,Berge,Liter,wurde,wieder,Kleidung,Zuckers,hat,mit,kann,königlichen,können,Mond,aus,beteiligten,Lust,wissen,beschuldigten,unter,Größe,gedachte,Masse,stand,kann,260.000,Fleischs,Leinwand,schnell,stand,gedachte,260.000,roter,dann,Menge,die,wieder,wurden,kann,mit,beschuldigten,schon,kleinere,wir,mit,der,er,wurde,bei,habe,"sporadisch,",Liter,mit,Menge,Lust,große,auf,die,wissen,"unterging,",,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,3,3,3,,,,,,,space,0.386594057083,,,,,,2017_Feb_01_1206,59.7756793041,spr_backupper,001,Mo18,
,"reichlichem,",Blut,Stadt,"Japan,",bei,gelegentlich,Wohnung,Farbe,schönen,Büschel,man,bekannten,mit,"minimalem,",36,den,"üblichem,",Büschel,landen,immer,die,ich,Fahrer,obschon,immer,das,schönen,schmutziger,richtige,einen,dem,"Delikte,",wurden,Packung,sind,bekannten,"nicht,",nicht,aus,vierte,schmutzige,sprudelndes,schon,viel,landen,sind,uns,dauerhaftem,man,Bluts,Neuwahlen,dauerte,"wertvollem,",Fahrer,auf,wir,die,"regelmäßigem,",36,man,mit,ein,ich,Kilowattstunden,wurden,aus,dank,ein,man,Kilowattstunden,Farbe,mit,alten,Stimmung,viel,mit,ich,"sämtlichem,",die,bei,"Delikte,",den,solchen,Stadt,"trug,",jetzt,ausreichendem,ich,obwohl,sprudelnden,solch,alten,auf,Packung,warmem,Wohnung,wir,war,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,4,4,4,,,,,,,space,0.398281812668,,,,,,2017_Feb_01_1206,59.7756793041,spr_backupper,001,Mo18,
,purem,hat,liegen,die,"frischem,",einen,des,geschleudert.,Wetter,frischen,eine,Skandal,einem,sauberen,würden,roten,harten,frisches,im,350,Tiere,mehr,wurden,sie,350,Auto,Wetters,Wäsche.,"Zeit,",gelegentlichen,Mann,derer,serviert.,salziger,auf,Skandals,was,am,feinem,Bundespräsident.,Wäsche.,Trinkwasser.,immer,Lärm,im,auf,die,feinem,eine,hat,vor,ungefähr,klassischen,wurden,noch,von,Störenfriede,kaltem,hätten,den,einem,Glas,leider,elektrischer,serviert.,seltenem,täglichem,Glas,der,elektrische,geschleudert.,"reichem,",Kram,ziemlich,Lärm,zusätzlichem,leider,künftigem,Störenfriede,minimalem,deren,roten,unzureichenden,liegen,war,"nachgewiesen,",monatlichem,mehr,sie,Trinkwassers.,unzureichenden,Krams,noch,salzige,weichem,des,um,die,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,5,5,5,,,,,,,space,0.402736902237,,,,,,2017_Feb_01_1206,59.7756793041,spr_backupper,001,Mo18,
,Alkohol,den,die,er,kaltem,Besucher.,Herrn,nan,die,Grases,große,wiedergewählt.,Esslöffel,Kraftstoff,seiner,Planeten,Schaumstoff,Gras,Müll.,ml,artgerecht,als,verschrottet.,defekt,ml,mehr,die,nan,um,Besucher.,mehr,sie,nan,Wurst,jeden,wiedergewählt.,Tupperware,Hauptbahnhof.,dichten,nan,nan,nan,ruhig,um,Müll.,jeden,Stimmung,Kunsteis,große,den,Dezember,drei,Schmuck,verschrottet.,eine,den,jeden.,Abduschen,seiner,Soldaten,Esslöffel,köstlicher,nichts,Energie.,nan,dichten,grünen,köstlichen,Soldaten,Energie.,nan,goldenen,aus,"vermiest,",um,schwarzem,nichts,Einkommen,jeden.,täglichen,sie,Planet,Helmen,die,aus,dass,Taschengeld,als,defekt,nan,Helmen,aus,eine,Wurst,Untergrund,Herrn,die,Flut,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,6,6,6,,,,,,,space,0.366015911102,,,,,,2017_Feb_01_1206,59.7756793041,spr_backupper,001,Mo18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,None,j,2.81954884529,,,2017_Feb_01_1206,59.7756793041,spr_backupper,001,Mo18,
